image_name,width,height,x0,y0,x1,y1
00001722.jpg,1333,2000,490,320,687,664
00001044.jpg,2000,1333,791,119,1200,436
00001050.jpg,667,1000,304,155,407,331
00001736.jpg,626,417,147,14,519,303
00003121.jpg,626,418,462,60,599,166
00003121.jpg,626,418,316,157,441,254
00003121.jpg,626,418,35,71,160,168
00003121.jpg,626,418,254,94,376,187
00003121.jpg,626,418,166,118,306,226
00000400.jpg,600,400,148,61,377,242
00002571.jpg,960,720,117,159,317,334
00002571.jpg,960,720,596,203,772,354
00000366.jpg,900,601,170,88,506,350
00000366.jpg,900,601,303,2,639,144
00002565.jpg,1267,712,241,40,963,513
00001939.jpg,612,424,195,57,383,209
00001087.jpg,1024,683,405,27,614,189
00001093.jpg,821,1300,290,28,392,211
00001905.jpg,612,408,137,20,394,224
00001911.jpg,792,463,317,187,442,272
00001911.jpg,792,463,386,110,570,236
00001911.jpg,792,463,231,42,411,165
00002997.jpg,882,588,269,245,363,318
00002997.jpg,882,588,372,23,484,109
00002997.jpg,882,588,567,113,682,202
00003451.jpg,236,354,87,46,131,121
00001246.jpg,600,419,210,32,361,158
00001520.jpg,1098,732,684,251,987,486
00001520.jpg,1098,732,34,195,344,435
00001520.jpg,1098,732,375,279,678,509
00001520.jpg,1098,732,486,239,796,474
00001520.jpg,1098,732,913,215,1097,446
00002029.jpg,345,520,149,66,207,167
00003337.jpg,500,500,173,8,252,100
00003337.jpg,500,500,176,219,248,304
00003337.jpg,500,500,24,298,82,365
00003323.jpg,408,612,170,77,247,208
00001252.jpg,343,280,144,31,211,94
00002983.jpg,1200,939,435,149,553,254
00002983.jpg,1200,939,315,146,418,237
00003445.jpg,236,314,44,21,95,97
00002015.jpg,684,1024,147,71,528,720
00000602.jpg,1300,956,368,184,622,402
00000602.jpg,1300,956,696,360,980,608
00000602.jpg,1300,956,900,461,1154,684
00000602.jpg,1300,956,52,329,435,656
00000602.jpg,1300,956,726,149,954,345
00000616.jpg,910,607,458,373,644,514
00002001.jpg,1500,1120,564,1,960,328
00002767.jpg,900,600,240,36,864,531
00000170.jpg,626,418,299,72,368,127
00000170.jpg,626,418,363,155,442,217
00000170.jpg,626,418,421,38,499,98
00000170.jpg,626,418,294,134,369,192
00002954.jpg,866,1300,166,448,355,778
00002954.jpg,866,1300,339,62,528,384
00002954.jpg,866,1300,553,505,726,801
00003492.jpg,236,354,101,26,145,103
00000825.jpg,367,550,161,32,236,163
00000831.jpg,800,450,154,7,685,362
00002798.jpg,1000,667,106,332,264,454
00002798.jpg,1000,667,577,288,735,410
00002798.jpg,1000,667,405,316,550,428
00002798.jpg,1000,667,263,334,390,435
00002798.jpg,1000,667,764,322,918,442
00002940.jpg,1062,1092,386,360,481,474
00002940.jpg,1062,1092,574,361,678,488
00003486.jpg,236,157,64,24,169,106
00000819.jpg,1024,683,289,20,640,292
00001332.jpg,600,620,237,2,376,167
00000992.jpg,1125,750,479,194,694,357
00003243.jpg,500,488,157,284,215,350
00000986.jpg,1600,900,832,488,1380,854
00000986.jpg,1600,900,158,347,786,748
00001440.jpg,3850,2567,1204,564,2289,1406
00001326.jpg,626,417,130,35,303,172
00002607.jpg,626,417,279,48,456,185
00002607.jpg,626,417,93,109,281,255
00002607.jpg,626,417,368,144,560,293
00002607.jpg,626,417,208,177,397,323
00002161.jpg,1000,730,70,140,172,227
00002161.jpg,1000,730,407,101,505,182
00002161.jpg,1000,730,273,283,371,364
00001468.jpg,600,419,276,55,589,309
00000762.jpg,800,583,482,22,622,141
00002613.jpg,2000,1333,369,324,984,800
00002613.jpg,2000,1333,876,381,1465,838
00000004.jpg,1000,1241,476,177,588,335
00000789.jpg,2000,3019,735,296,1171,1062
00000951.jpg,1356,1681,376,164,619,516
00001497.jpg,600,336,125,26,344,172
00001483.jpg,960,580,156,4,860,489
00002808.jpg,500,333,179,59,336,183
00003041.jpg,800,533,312,64,639,323
00003041.jpg,800,533,145,149,444,376
00000548.jpg,508,339,395,100,506,188
00000548.jpg,508,339,78,1,179,76
00000548.jpg,508,339,389,16,499,102
00000548.jpg,508,339,141,67,267,164
00000548.jpg,508,339,268,2,381,86
00000548.jpg,508,339,239,90,347,174
00000548.jpg,508,339,2,35,130,159
00000548.jpg,508,339,199,1,305,69
00001656.jpg,650,433,329,16,443,105
00001130.jpg,867,1300,131,1,442,422
00001124.jpg,500,333,81,1,412,183
00001642.jpg,1125,750,452,219,677,393
00003055.jpg,1300,957,191,187,527,475
00003055.jpg,1300,957,689,162,979,416
00002405.jpg,2048,1365,1266,105,1634,397
00000206.jpg,1000,667,527,87,803,296
00002411.jpg,840,560,470,76,678,237
00003069.jpg,1023,713,224,319,483,529
00003069.jpg,1023,713,62,302,276,472
00003069.jpg,1023,713,415,294,633,467
00003069.jpg,1023,713,566,314,749,460
00003069.jpg,1023,713,664,428,844,573
00003069.jpg,1023,713,722,315,993,539
00003069.jpg,1023,713,1,364,139,513
00003069.jpg,1023,713,859,328,1017,505
00000560.jpg,1500,1001,769,81,1271,464
