                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.5295,                 1.9753,                 1.5642,                0.76801,                0.71935,                0.77725,                0.44244,                 1.4029,                 2.1665,                 1.5229,             0.00066066,             0.00066066,             0.00066066
                      2,                  1.376,                 1.4158,                 1.4678,                0.68862,                0.76774,                0.77514,                0.46249,                 1.3718,                 1.2666,                 1.5321,              0.0013142,              0.0013142,              0.0013142
                      3,                 1.3428,                 1.1976,                 1.4641,                0.81598,                0.81535,                0.79167,                0.51565,                  1.267,                 1.3782,                 1.4751,              0.0019545,              0.0019545,              0.0019545
                      4,                 1.3121,                 1.0998,                 1.4375,                0.79588,                0.86785,                 0.8889,                0.55745,                   1.29,                 1.1259,                 1.4849,              0.0019406,              0.0019406,              0.0019406
                      5,                 1.3086,                 1.0188,                 1.4414,                0.79984,                0.91613,                0.89668,                0.53824,                 1.3359,                0.82482,                 1.5106,              0.0019406,              0.0019406,              0.0019406
                      6,                 1.2377,                0.94255,                 1.3804,                0.83865,                0.90968,                0.93627,                0.63099,                 1.0999,                 0.7557,                 1.3692,              0.0019208,              0.0019208,              0.0019208
                      7,                 1.2157,                0.91643,                 1.3719,                0.84987,                0.91303,                0.94086,                0.64192,                 1.1308,                0.71999,                 1.3328,               0.001901,               0.001901,               0.001901
                      8,                 1.1367,                0.85552,                 1.3304,                0.81797,                0.93226,                  0.932,                0.62881,                 1.1065,                0.71315,                 1.3514,              0.0018812,              0.0018812,              0.0018812
                      9,                 1.1424,                0.86404,                 1.3366,                0.81341,                0.93871,                0.94966,                0.64619,                 1.1082,                 0.7703,                 1.3771,              0.0018614,              0.0018614,              0.0018614
                     10,                 1.1576,                0.85726,                 1.3497,                0.84868,                    0.9,                0.94864,                0.69233,                0.96371,                0.62393,                 1.2543,              0.0018416,              0.0018416,              0.0018416
                     11,                 1.1204,                0.82464,                 1.3153,                0.82501,                0.93871,                0.93906,                0.67169,                 1.0158,                0.65021,                 1.2814,              0.0018218,              0.0018218,              0.0018218
                     12,                 1.1237,                0.83228,                 1.3258,                0.83657,                0.95775,                0.95061,                0.67297,                 1.0249,                 0.6354,                 1.3019,               0.001802,               0.001802,               0.001802
                     13,                 1.0753,                0.79299,                 1.2964,                0.85504,                 0.9323,                0.95115,                0.68287,                 1.0092,                 0.6302,                 1.2654,              0.0017822,              0.0017822,              0.0017822
                     14,                 1.0558,                0.78803,                 1.2762,                  0.831,                0.91996,                0.93936,                0.68509,                0.96716,                0.62415,                 1.2791,              0.0017624,              0.0017624,              0.0017624
                     15,                 1.0675,                0.78248,                 1.2888,                 0.8687,                0.93548,                0.95618,                0.72428,                0.91718,                0.58955,                 1.2411,              0.0017426,              0.0017426,              0.0017426
                     16,                 1.0418,                0.77294,                 1.2673,                0.82618,                0.97097,                0.95333,                0.70123,                0.94755,                0.58782,                 1.2435,              0.0017228,              0.0017228,              0.0017228
                     17,                 1.0402,                0.76001,                 1.2614,                0.87094,                0.93548,                0.96734,                0.73229,                0.91072,                 0.5302,                 1.2113,               0.001703,               0.001703,               0.001703
                     18,                 1.0132,                0.75951,                 1.2513,                0.84857,                0.94839,                0.95627,                0.72732,                0.89362,                0.57282,                 1.2013,              0.0016832,              0.0016832,              0.0016832
                     19,                  1.026,                0.75554,                 1.2602,                0.88317,                 0.9266,                0.96404,                0.72093,                0.91059,                  0.555,                 1.2205,              0.0016634,              0.0016634,              0.0016634
                     20,                 1.0037,                0.71878,                 1.2291,                0.85139,                0.91613,                0.93087,                0.71041,                0.87968,                0.57048,                  1.193,              0.0016436,              0.0016436,              0.0016436
                     21,                0.99673,                0.72303,                 1.2354,                0.84227,                0.95484,                0.93475,                0.68814,                0.96589,                0.57332,                 1.2681,              0.0016238,              0.0016238,              0.0016238
                     22,                0.98691,                0.71494,                  1.229,                0.84811,                0.95462,                0.96029,                0.70699,                0.96399,                0.56473,                 1.2598,               0.001604,               0.001604,               0.001604
                     23,                0.97672,                0.70829,                  1.219,                0.89142,                0.92689,                0.96555,                0.75452,                0.83489,                0.52147,                 1.1458,              0.0015842,              0.0015842,              0.0015842
                     24,                0.96865,                0.69769,                 1.2139,                0.89173,                0.94194,                0.95636,                0.73432,                0.84701,                0.50921,                 1.1727,              0.0015644,              0.0015644,              0.0015644
                     25,                0.95183,                0.68238,                 1.2072,                 0.8575,                0.95117,                0.95808,                 0.7372,                0.88409,                0.52496,                 1.1812,              0.0015446,              0.0015446,              0.0015446
                     26,                0.96039,                0.66827,                 1.2172,                0.84769,                0.94194,                0.94478,                0.74007,                0.83081,                0.53403,                 1.1594,              0.0015248,              0.0015248,              0.0015248
                     27,                0.94075,                0.66794,                 1.1888,                0.88346,                0.96129,                0.97124,                0.76546,                0.83293,                0.49411,                 1.1513,               0.001505,               0.001505,               0.001505
                     28,                0.94881,                0.67077,                 1.2068,                0.88382,                0.96129,                0.97022,                0.73301,                0.90947,                0.51041,                 1.2244,              0.0014852,              0.0014852,              0.0014852
                     29,                0.93837,                0.68123,                 1.2004,                0.89674,                0.94516,                0.96879,                0.74814,                0.86044,                 0.5095,                 1.1859,              0.0014654,              0.0014654,              0.0014654
                     30,                0.92928,                0.67073,                 1.1975,                0.87211,                0.96129,                0.96332,                0.75405,                0.82192,                0.51167,                 1.1489,              0.0014456,              0.0014456,              0.0014456
                     31,                0.91441,                0.65321,                 1.1821,                0.89981,                0.96452,                 0.9671,                0.75224,                0.86308,                0.48787,                 1.1668,              0.0014258,              0.0014258,              0.0014258
                     32,                0.91824,                0.66466,                 1.1919,                0.87648,                0.96138,                0.96633,                0.76641,                0.79678,                0.48834,                 1.1185,               0.001406,               0.001406,               0.001406
                     33,                0.91166,                 0.6606,                 1.1821,                 0.8825,                0.94516,                0.95762,                 0.7416,                0.84162,                0.48976,                 1.1617,              0.0013862,              0.0013862,              0.0013862
                     34,                0.89853,                0.63102,                 1.1731,                0.82681,                0.99032,                0.95004,                0.75702,                0.79139,                0.50906,                 1.1175,              0.0013664,              0.0013664,              0.0013664
                     35,                 0.8912,                0.63518,                 1.1716,                0.91274,                0.94478,                0.96471,                0.77191,                0.79723,                0.49275,                 1.1301,              0.0013466,              0.0013466,              0.0013466
                     36,                0.90298,                 0.6505,                 1.1793,                0.88106,                0.95806,                0.96487,                0.77459,                0.80971,                0.48559,                 1.1284,              0.0013268,              0.0013268,              0.0013268
                     37,                0.88266,                0.62575,                 1.1634,                0.90097,                0.92581,                 0.9583,                0.75038,                0.80696,                0.51223,                  1.137,               0.001307,               0.001307,               0.001307
                     38,                0.91132,                 0.6353,                 1.1857,                0.90513,                0.91613,                0.96469,                0.76775,                0.79564,                0.49401,                 1.1361,              0.0012872,              0.0012872,              0.0012872
                     39,                0.88087,                0.61879,                 1.1587,                0.86846,                0.94194,                0.94417,                0.73915,                0.82598,                0.49682,                 1.1437,              0.0012674,              0.0012674,              0.0012674
                     40,                0.87276,                0.61537,                 1.1582,                0.89923,                0.95161,                0.97234,                  0.766,                0.82566,                0.47449,                 1.1427,              0.0012476,              0.0012476,              0.0012476
                     41,                0.86201,                0.62655,                 1.1496,                0.92003,                0.94516,                0.97423,                0.76817,                0.82855,                0.45858,                 1.1383,              0.0012278,              0.0012278,              0.0012278
                     42,                0.85859,                0.61204,                 1.1458,                0.93014,                0.90192,                0.96083,                0.76762,                0.78715,                0.46461,                 1.1134,               0.001208,               0.001208,               0.001208
                     43,                0.85189,                0.60193,                 1.1446,                 0.8824,                0.96129,                0.96934,                0.77395,                0.77205,                0.46391,                 1.0956,              0.0011882,              0.0011882,              0.0011882
                     44,                0.83472,                0.59989,                 1.1336,                0.91191,                0.93501,                0.96645,                0.77654,                0.78992,                0.45895,                 1.1213,              0.0011684,              0.0011684,              0.0011684
                     45,                0.83771,                0.59888,                 1.1431,                0.86298,                0.96452,                0.96194,                0.77773,                0.76995,                 0.4482,                 1.1041,              0.0011486,              0.0011486,              0.0011486
                     46,                 0.8463,                0.59763,                 1.1455,                0.87831,                0.93126,                0.95354,                0.77199,                0.74476,                0.46303,                 1.0877,              0.0011288,              0.0011288,              0.0011288
                     47,                0.83593,                0.59334,                 1.1338,                0.89979,                0.93548,                0.97234,                0.78847,                0.75965,                0.44456,                 1.0937,               0.001109,               0.001109,               0.001109
                     48,                0.82587,                0.58013,                 1.1357,                0.91761,                0.92581,                0.96456,                0.78368,                 0.7431,                0.45174,                 1.1015,              0.0010892,              0.0010892,              0.0010892
                     49,                0.83542,                0.58448,                 1.1312,                0.90755,                0.97097,                 0.9785,                0.80187,                0.75172,                0.42102,                 1.0926,              0.0010694,              0.0010694,              0.0010694
                     50,                0.81702,                0.58394,                 1.1182,                0.90095,                0.92581,                 0.9691,                0.78287,                0.76311,                0.45958,                 1.0843,              0.0010496,              0.0010496,              0.0010496
                     51,                0.79954,                0.56475,                 1.1176,                  0.907,                0.94516,                0.96338,                0.78432,                0.74448,                0.42957,                 1.0778,              0.0010298,              0.0010298,              0.0010298
                     52,                 0.8439,                0.58227,                 1.1397,                0.86884,                0.96155,                0.95658,                0.76537,                0.77069,                0.46884,                 1.0848,                0.00101,                0.00101,                0.00101
                     53,                0.80277,                0.55793,                 1.1174,                 0.8769,                0.96516,                0.97028,                0.79301,                0.74575,                0.43347,                  1.067,              0.0009902,              0.0009902,              0.0009902
                     54,                0.80563,                0.58485,                 1.1142,                0.90211,                0.93226,                 0.9667,                0.78668,                0.72749,                0.45487,                 1.0808,              0.0009704,              0.0009704,              0.0009704
                     55,                0.81971,                0.58586,                 1.1311,                0.91842,                0.94422,                0.96318,                0.76929,                0.77908,                0.45156,                  1.097,              0.0009506,              0.0009506,              0.0009506
                     56,                0.81138,                0.56633,                 1.1216,                0.90672,                0.94068,                0.96097,                0.77764,                0.74824,                0.43807,                 1.0796,              0.0009308,              0.0009308,              0.0009308
                     57,                0.79725,                0.55163,                 1.1173,                0.90858,                0.97097,                0.97377,                0.79344,                0.73791,                0.42652,                 1.0762,               0.000911,               0.000911,               0.000911
                     58,                0.79469,                0.57171,                 1.1163,                0.91472,                0.93417,                0.96838,                0.78782,                0.74977,                0.44062,                 1.1007,              0.0008912,              0.0008912,              0.0008912
                     59,                0.76619,                0.54139,                 1.0975,                0.93574,                0.92581,                0.97086,                0.80183,                0.72092,                0.42442,                  1.069,              0.0008714,              0.0008714,              0.0008714
                     60,                0.77316,                0.54489,                 1.0986,                0.90673,                0.92581,                0.97262,                0.79396,                0.73503,                0.43216,                 1.0694,              0.0008516,              0.0008516,              0.0008516
                     61,                0.76283,                0.53636,                 1.0943,                0.89616,                0.94194,                0.95719,                0.78252,                0.73307,                0.44682,                 1.0643,              0.0008318,              0.0008318,              0.0008318
                     62,                 0.7773,                0.54824,                 1.0976,                0.91015,                0.94839,                0.96987,                0.79696,                0.71598,                0.43093,                 1.0572,               0.000812,               0.000812,               0.000812
                     63,                0.77156,                0.54272,                 1.0925,                0.92205,                0.95396,                0.96859,                0.79528,                0.72031,                0.43768,                 1.0621,              0.0007922,              0.0007922,              0.0007922
                     64,                 0.7551,                0.54225,                 1.0858,                0.90364,                0.94194,                0.95858,                0.78164,                0.73993,                0.43238,                 1.0798,              0.0007724,              0.0007724,              0.0007724
                     65,                0.75173,                0.51764,                 1.0849,                0.89536,                0.94839,                0.96758,                0.79829,                0.71584,                0.41498,                 1.0549,              0.0007526,              0.0007526,              0.0007526
                     66,                0.74662,                0.51973,                 1.0837,                0.92465,                0.94194,                0.96964,                0.79743,                 0.7069,                0.41019,                 1.0512,              0.0007328,              0.0007328,              0.0007328
                     67,                0.76076,                0.52805,                 1.0833,                0.92607,                0.92903,                0.96625,                0.80586,                0.70951,                0.41271,                 1.0568,               0.000713,               0.000713,               0.000713
                     68,                0.75533,                0.52997,                 1.0885,                0.90773,                0.94516,                0.97368,                0.80673,                 0.7247,                0.41716,                 1.0671,              0.0006932,              0.0006932,              0.0006932
                     69,                0.75122,                 0.5173,                 1.0747,                0.87817,                0.95484,                0.95517,                0.78631,                0.71738,                0.43426,                 1.0697,              0.0006734,              0.0006734,              0.0006734
                     70,                  0.744,                0.51029,                 1.0822,                0.88288,                0.95484,                0.96309,                0.78612,                0.72922,                0.42895,                  1.069,              0.0006536,              0.0006536,              0.0006536
                     71,                0.74594,                 0.5388,                 1.0912,                0.88878,                0.92903,                0.95343,                0.79598,                0.70709,                 0.4434,                  1.054,              0.0006338,              0.0006338,              0.0006338
                     72,                 0.7355,                0.51991,                 1.0743,                0.91193,                0.93226,                0.96392,                0.79803,                0.70459,                0.42342,                  1.051,               0.000614,               0.000614,               0.000614
                     73,                0.72469,                0.50687,                 1.0725,                0.87655,                0.96198,                0.96257,                0.80031,                0.70657,                0.41403,                 1.0514,              0.0005942,              0.0005942,              0.0005942
                     74,                0.72783,                0.49701,                 1.0724,                0.91258,                0.92258,                0.96724,                0.79871,                0.71996,                0.41969,                 1.0726,              0.0005744,              0.0005744,              0.0005744
                     75,                0.72869,                0.50953,                 1.0754,                 0.9051,                 0.9537,                0.97315,                0.81371,                0.69268,                0.40177,                 1.0464,              0.0005546,              0.0005546,              0.0005546
                     76,                0.71552,                0.50797,                 1.0682,                0.91419,                0.92795,                0.97066,                0.80868,                0.69714,                0.40729,                 1.0499,              0.0005348,              0.0005348,              0.0005348
                     77,                0.71267,                0.49874,                  1.066,                 0.9189,                0.93226,                0.97219,                0.81171,                0.69011,                0.40753,                 1.0354,               0.000515,               0.000515,               0.000515
                     78,                0.69878,                0.49547,                 1.0641,                 0.9233,                0.93199,                0.97512,                0.80443,                0.69792,                0.41806,                 1.0454,              0.0004952,              0.0004952,              0.0004952
                     79,                0.69811,                0.49102,                 1.0601,                0.92675,                0.93869,                0.97241,                0.80892,                0.69694,                0.40387,                 1.0507,              0.0004754,              0.0004754,              0.0004754
                     80,                0.70636,                0.49172,                 1.0581,                0.87243,                0.95806,                0.96185,                0.78589,                0.71674,                0.42533,                 1.0673,              0.0004556,              0.0004556,              0.0004556
                     81,                0.69279,                0.47547,                 1.0546,                0.93298,                  0.943,                 0.9731,                0.80423,                0.71381,                0.39012,                 1.0643,              0.0004358,              0.0004358,              0.0004358
                     82,                0.70005,                0.49088,                 1.0531,                0.91427,                0.92885,                 0.9631,                0.79657,                0.71007,                0.40783,                 1.0514,               0.000416,               0.000416,               0.000416
                     83,                 0.6877,                0.47882,                 1.0515,                0.92587,                0.93548,                0.97429,                0.80824,                0.69953,                0.39836,                 1.0565,              0.0003962,              0.0003962,              0.0003962
                     84,                0.67957,                0.46607,                  1.045,                0.92352,                 0.9348,                 0.9704,                0.80306,                 0.6998,                0.40426,                 1.0517,              0.0003764,              0.0003764,              0.0003764
                     85,                0.69453,                0.48273,                 1.0562,                0.93118,                0.91659,                0.96326,                 0.8003,                0.70228,                0.40093,                 1.0494,              0.0003566,              0.0003566,              0.0003566
                     86,                0.68046,                0.47387,                 1.0509,                0.91204,                0.93656,                0.96632,                0.79814,                0.70284,                0.41046,                 1.0488,              0.0003368,              0.0003368,              0.0003368
                     87,                0.68202,                0.47877,                 1.0487,                0.91805,                0.92903,                0.97393,                0.80907,                0.69467,                 0.3886,                 1.0459,               0.000317,               0.000317,               0.000317
                     88,                   0.67,                0.46352,                  1.045,                0.90643,                0.93745,                 0.9698,                0.80827,                0.69268,                0.40065,                 1.0472,              0.0002972,              0.0002972,              0.0002972
                     89,                0.67456,                 0.4707,                 1.0422,                0.90888,                0.93311,                0.96913,                0.80885,                0.69428,                0.40621,                 1.0472,              0.0002774,              0.0002774,              0.0002774
                     90,                0.66284,                0.45599,                 1.0344,                0.93193,                0.92746,                0.96638,                0.80489,                 0.6866,                0.39327,                 1.0375,              0.0002576,              0.0002576,              0.0002576
                     91,                0.53423,                0.31721,                0.94719,                0.91608,                0.95074,                0.96953,                0.80372,                0.69002,                0.38929,                 1.0358,              0.0002378,              0.0002378,              0.0002378
                     92,                0.52918,                0.31073,                0.95315,                0.91036,                0.95484,                0.96717,                0.80942,                 0.6908,                0.39686,                 1.0382,               0.000218,               0.000218,               0.000218
                     93,                0.52101,                0.30375,                 0.9379,                0.92075,                0.96452,                0.97233,                0.81466,                0.68447,                0.38077,                 1.0339,              0.0001982,              0.0001982,              0.0001982
                     94,                0.50184,                 0.2868,                0.93229,                0.92429,                0.94521,                0.97642,                0.82806,                0.67309,                0.37893,                 1.0279,              0.0001784,              0.0001784,              0.0001784
                     95,                0.50707,                0.29466,                0.93491,                0.92667,                0.94516,                 0.9717,                0.82288,                0.67437,                0.37452,                  1.029,              0.0001586,              0.0001586,              0.0001586
                     96,                0.49267,                 0.2869,                0.92315,                0.92641,                0.93408,                0.97153,                0.82155,                 0.6673,                 0.3827,                   1.03,              0.0001388,              0.0001388,              0.0001388
                     97,                0.48732,                0.28282,                0.91897,                0.91222,                0.94516,                0.97434,                0.82779,                0.67497,                0.37959,                 1.0336,               0.000119,               0.000119,               0.000119
                     98,                0.49037,                0.28046,                0.91928,                0.92674,                0.93862,                0.97541,                0.83265,                0.66645,                 0.3751,                 1.0233,               9.92e-05,               9.92e-05,               9.92e-05
                     99,                0.48948,                0.28098,                0.92311,                0.93405,                0.92903,                0.97528,                0.83089,                0.67098,                0.37483,                 1.0311,               7.94e-05,               7.94e-05,               7.94e-05
                    100,                0.48207,                0.27489,                0.91921,                0.92403,                0.94166,                0.97485,                0.82993,                0.66083,                0.37303,                 1.0255,               5.96e-05,               5.96e-05,               5.96e-05
